,source,target,source_node_size,edge_size
0,crypto,listmebot,56000.0,2
1,crypto,cryptofaqs,56000.0,2
2,crypto,airdrops,56000.0,1
3,crypto,cryptoalerts,56000.0,1
4,crypto,cryptobots,56000.0,1
5,crypto,cryptochannels,56000.0,1
6,crypto,cryptocommunities,56000.0,1
7,crypto,cryptocurrencies,56000.0,1
8,crypto,cryptoexchanges,56000.0,1
9,crypto,cryptoindicators,56000.0,1
10,crypto,cryptojobs,56000.0,1
11,crypto,cryptoservices,56000.0,1
12,crypto,scamexamples,56000.0,1
13,crypto,notoscam,56000.0,1
14,crypto,telegram,56000.0,1
15,crypto,resolutions,56000.0,1
18,crypto,communityrules,56000.0,1
19,crypto,learntotrade,56000.0,1
0,cryptofaqs,crypto,703.0,6
2,cryptofaqs,learntotrade,703.0,1
3,cryptofaqs,termsconditions,703.0,2
4,cryptofaqs,listmebot,703.0,3
6,cryptofaqs,cryptojobs,703.0,1
8,cryptofaqs,setupguide,703.0,1
9,cryptofaqs,resolutions,703.0,2
13,cryptofaqs,contribute,703.0,1
0,airdrops,listmebot,9040.0,1
1,airdrops,crypto,9040.0,1
2,airdrops,ceocry,9040.0,1
3,airdrops,ariaeren,9040.0,1
4,airdrops,conjeenft,9040.0,1
5,airdrops,stellatop,9040.0,1
6,airdrops,bi_ml,9040.0,1
7,airdrops,ap2627,9040.0,1
8,airdrops,pancakeforkadmin,9040.0,1
9,airdrops,coinjoy,9040.0,2
10,airdrops,whofuckareu,9040.0,1
11,airdrops,zack1978,9040.0,1
12,airdrops,gigaswapdexbot,9040.0,1
13,airdrops,guerilatokenofficial,9040.0,1
14,airdrops,guerillatoken,9040.0,1
15,airdrops,guerillatokenadmin,9040.0,1
16,airdrops,projectperseus,9040.0,1
17,airdrops,hakins79,9040.0,1
18,airdrops,jibi332,9040.0,1
20,airdrops,lcms_coin,9040.0,1
21,airdrops,olympfi_chat,9040.0,1
22,airdrops,olympfi_channel,9040.0,1
23,airdrops,apeology,9040.0,1
24,airdrops,sirlibz12,9040.0,1
